customer_id,customer_state,region
06b8999e2fba1a1fbc88172c00ba8bc7,SP,Southeast
18955e83d337fd6b2def6b18a428ac77,SP,Southeast
4e7b3e00288586ebd08712fdd0374a03,SP,Southeast
b2b6027bc5c5109e529d4dc6358b12c3,SP,Southeast
4f2d8ab171c80ec8364f7c12e35b23ad,SP,Southeast
879864dab9bc3047522c92c82e1212b8,SC,South
fd826e7cf63160e536e0908c76c3f441,SP,Southeast
5e274e7a0c3809e14aba7ad5aae0d407,MG,Southeast
5adf08e34b2e993982a47070956c5c65,PR,South
4b7139f34592b3a31687243a302fa75b,MG,Southeast
9fb35e4ed6f0a14a4977cd9aea4042bb,MG,Southeast
5aa9e4fdd4dfd20959cad2d772509598,RJ,Southeast
b2d1536598b73a9abd18e0d75d92f0a3,SP,Southeast
eabebad39a88bb6f5b52376faec28612,SP,Southeast
1f1c7bf1c9b041b292af6c1c4470b753,RS,South
206f3129c0e4d7d0b9550426023f0a08,SP,Southeast
a7c125a0a07b75146167b7f04a7f8e98,RJ,Southeast
c5c61596a3b6bd0cee5766992c48a9a1,SP,Southeast
9b8ce803689b3562defaad4613ef426f,SP,Southeast
49d0ea0986edde72da777f15456a0ee0,PA,North
154c4ded6991bdfa3cd249d11abf4130,SC,South
690172ab319622688d3b4df42f676898,GO,Central-West
2938121a40a20953c43caa8c98787fcb,SP,Southeast
237098a64674ae89babdc426746260fc,PR,South
cb721d7b4f271fd87011c4c83462c076,SP,Southeast
f681356046d9fde60e70c73a18d65ea2,SP,Southeast
167bd30a409e3e4127df5a9408ebd394,GO,Central-West
6e359a57a91f84095cc64e1b351aef8c,SP,Southeast
e0eea8f69a457b3f1fa246e44c9ebefd,ES,Southeast
e3109970a3fe8021d5ff82c577ce5606,SP,Southeast
261cb4f92498ca05d5bd1a327a261d9c,SP,Southeast
6f92779347724b67e44e3224f3b4cffd,SP,Southeast
2d5831cb2dff7cdefba62e950ae3dc7b,BA,Northeast
b2bed119388167a954382cca36c4777f,RJ,Southeast
469634941c27cd844170935a3cf60b95,PR,South
df0aa5b8586495e0ddf6b601122e43a1,SP,Southeast
41c8f4b570869791379a925899a6af8a,SP,Southeast
54f755c3fd2709231f9964a1430c5218,RS,South
