order_id,order_status,order_delivered_customer_date,order_estimated_delivery_date,delivery_status
e481f51cbdc54678b7cc49136f2d6af7,delivered,"2017-10-10 21:25:13","2017-10-18 00:00:00","On Time"
53cdb2fc8bc7dce0b6741e2150273451,delivered,"2018-08-07 15:27:45","2018-08-13 00:00:00","On Time"
47770eb9100c2d0c44946d9cf07ec65d,delivered,"2018-08-17 18:06:29","2018-09-04 00:00:00","On Time"
949d5b44dbf5de918fe9c16f97b45f8a,delivered,"2017-12-02 00:28:42","2017-12-15 00:00:00","On Time"
ad21c59c0840e6cb83a9ceb5573f8159,delivered,"2018-02-16 18:17:02","2018-02-26 00:00:00","On Time"
a4591c265e18cb1dcee52889e2d8acc3,delivered,"2017-07-26 10:57:55","2017-08-01 00:00:00","On Time"
136cce7faa42fdb2cefd53fdc79a6098,invoiced,NULL,"2017-05-09 00:00:00","Not Delivered"
6514b8ad8028c9f2cc2374ded245783f,delivered,"2017-05-26 12:55:51","2017-06-07 00:00:00","On Time"
76c6e866289321a7c93b82b54852dc33,delivered,"2017-02-02 14:08:10","2017-03-06 00:00:00","On Time"
e69bfb5eb88e0ed6a785585b27e16dbf,delivered,"2017-08-16 17:14:30","2017-08-23 00:00:00","On Time"
e6ce16cb79ec1d90b1da9085a6118aeb,delivered,"2017-05-29 11:18:31","2017-06-07 00:00:00","On Time"
34513ce0c4fab462a55830c0989c7edb,delivered,"2017-07-19 14:04:48","2017-08-08 00:00:00","On Time"
82566a660a982b15fb86e904c8d32918,delivered,"2018-06-19 12:05:52","2018-07-18 00:00:00","On Time"
5ff96c15d0b717ac6ad1f3d77225a350,delivered,"2018-07-30 15:52:25","2018-08-08 00:00:00","On Time"
432aaf21d85167c2c86ec9448c4e42cc,delivered,"2018-03-12 23:36:26","2018-03-21 00:00:00","On Time"
dcb36b511fcac050b97cd5c05de84dc3,delivered,"2018-06-21 15:34:32","2018-07-04 00:00:00","On Time"
